Case,Year,ModelFromNode,ModelToNode,FromNode,ToNode,ExistingCap_MW,NewCircuits,PeakAbsFlow_MW,Utilization,Capex_MUSD
REN100_Normal,2030,ZNO,ZSX,ZNX,ZSO,1732.05,0,808.7946562,0.4669580302,0
REN100_Normal,2030,ZNO,ZSO,ZNX,ZSX,673.65,0,81.48380567,0.1209586665,0
REN100_Normal,2030,ZNO,COL,ZNX,COL,460,0,453.6419886,0.9861782362,0
REN100_Normal,2030,ZSX,ZSO,ZSO,ZSX,1308.333333,0,1687.810925,1.290046567,0
REN100_Normal,2030,ZSX,PER,ZSO,PER,50,0,44.84823625,0.8969647251,0
REN100_Normal,2031,ZNX,ZNO,ZNO,ZNX,341.8,0,285.5290225,0.8353687023,0
REN100_Normal,2031,ZNX,ZSX,ZNO,ZSO,664,0,156.1689828,0.2351942512,0
REN100_Normal,2031,ZNO,ZSX,ZNX,ZSO,1732.05,0,484.2360637,0.2795739521,0
REN100_Normal,2031,ZNO,ZSO,ZNX,ZSX,673.65,0,250.6644134,0.3720988842,0
REN100_Normal,2031,ZNO,COL,ZNX,COL,460,0,389.7244828,0.8472271365,0
REN100_Normal,2031,ZSX,ZSO,ZSO,ZSX,1308.333333,0,2355,1.8,0
REN100_Normal,2031,ZSX,PER,ZSO,PER,50,0,46.0957633,0.921915266,0
REN100_Normal,2032,ZNX,ZNO,ZNO,ZNX,341.8,0,293.3494543,0.8582488422,0
REN100_Normal,2032,ZNX,ZSX,ZNO,ZSO,664,0,209.9047724,0.3161216452,0
REN100_Normal,2032,ZNO,ZSX,ZNX,ZSO,1732.05,0,465.4409208,0.2687225662,0
REN100_Normal,2032,ZNO,ZSO,ZNX,ZSX,673.65,0,225.6708557,0.334997188,0
REN100_Normal,2032,ZNO,COL,ZNX,COL,460,0,449.2444328,0.9766183322,0
REN100_Normal,2032,ZSX,ZSO,ZSO,ZSX,1308.333333,0,2530.04168,1.933789819,0
REN100_Normal,2032,ZSX,PER,ZSO,PER,50,0,44.80963988,0.8961927976,0
REN100_Normal,2033,ZNX,ZNO,ZNO,ZNX,341.8,0,327.6616191,0.9586355151,0
REN100_Normal,2033,ZNX,ZSX,ZNO,ZSO,664,0,188.1605325,0.283374296,0
REN100_Normal,2033,ZNO,ZSX,ZNX,ZSO,1732.05,0,543.8648086,0.3140006401,0
REN100_Normal,2033,ZNO,ZSO,ZNX,ZSX,673.65,0,246.5074482,0.3659280758,0
REN100_Normal,2033,ZNO,COL,ZNX,COL,460,0,438.222292,0.9526571565,0
REN100_Normal,2033,ZSX,ZSO,ZSO,ZSX,1308.333333,0,2704.398202,2.06705595,0
REN100_Normal,2033,ZSX,PER,ZSO,PER,50,0,48.6720663,0.973441326,0
REN100_Normal,2034,ZNX,ZNO,ZNO,ZNX,341.8,0,340.110871,0.9950581364,0
REN100_Normal,2034,ZNX,ZSX,ZNO,ZSO,664,0,188.6928522,0.2841759823,0
REN100_Normal,2034,ZNO,ZSX,ZNX,ZSO,1732.05,0,540.6467409,0.3121426869,0
REN100_Normal,2034,ZNO,ZSO,ZNX,ZSX,673.65,0,226.0758188,0.3355983356,0
REN100_Normal,2034,ZNO,COL,ZNX,COL,460,0,451.0214438,0.9804813996,0
REN100_Normal,2034,ZSX,ZSO,ZSO,ZSX,1308.333333,0,2729.69269,2.086389318,0
REN100_Normal,2034,ZSX,PER,ZSO,PER,50,0,42.51820001,0.8503640003,0
REN100_Normal,2035,ZNX,ZNO,ZNO,ZNX,341.8,0,273.857916,0.8012226916,0
REN100_Normal,2035,ZNX,ZSX,ZNO,ZSO,664,0,106.2321699,0.1599882076,0
REN100_Normal,2035,ZNO,ZSX,ZNX,ZSO,1732.05,0,488.4658354,0.282016013,0
REN100_Normal,2035,ZNO,ZSO,ZNX,ZSX,673.65,0,260.9099304,0.3873078459,0
