Case,Year,FuelCategory,Generation_GWh,Unit
BAU_Extreme,2025,DIESEL,673.207200000,GWh
BAU_Extreme,2025,FUEL OIL,5452.531200000,GWh
BAU_Extreme,2025,GAS,1552.896000000,GWh
BAU_Extreme,2025,IMPORTS,2008.008000000,GWh
BAU_Extreme,2025,OTHER,0.000000000,GWh
BAU_Extreme,2026,HYDRO,30713.328000000,GWh
BAU_Extreme,2026,PV,1230.775200000,GWh
BAU_Extreme,2026,WIND,771.206400000,GWh
BAU_Extreme,2026,GEOTHERMAL,0.000000000,GWh
BAU_Extreme,2026,BIOENERGY,970.106400000,GWh
BAU_Extreme,2026,DIESEL,707.918400000,GWh
BAU_Extreme,2026,FUEL OIL,5831.460000000,GWh
BAU_Extreme,2026,GAS,1823.176800000,GWh
BAU_Extreme,2026,IMPORTS,1930.773600000,GWh
BAU_Extreme,2026,OTHER,0.000000000,GWh
BAU_Extreme,2027,HYDRO,31761.712800000,GWh
BAU_Extreme,2027,PV,1618.084800000,GWh
BAU_Extreme,2027,WIND,780.012000000,GWh
BAU_Extreme,2027,GEOTHERMAL,0.000000000,GWh
BAU_Extreme,2027,BIOENERGY,966.801600000,GWh
BAU_Extreme,2027,DIESEL,1532.664000000,GWh
BAU_Extreme,2027,FUEL OIL,5342.169600000,GWh
BAU_Extreme,2027,GAS,2637.583200000,GWh
BAU_Extreme,2027,IMPORTS,1974.967200000,GWh
BAU_Extreme,2027,OTHER,0.000000000,GWh
BAU_Extreme,2028,HYDRO,32303.584800000,GWh
BAU_Extreme,2028,PV,2378.455200000,GWh
BAU_Extreme,2028,WIND,2091.628800000,GWh
BAU_Extreme,2028,GEOTHERMAL,0.000000000,GWh
BAU_Extreme,2028,BIOENERGY,795.672000000,GWh
BAU_Extreme,2028,DIESEL,418.320000000,GWh
BAU_Extreme,2028,FUEL OIL,3773.066400000,GWh
BAU_Extreme,2028,GAS,5106.506400000,GWh
BAU_Extreme,2028,IMPORTS,1806.782400000,GWh
BAU_Extreme,2028,OTHER,0.000000000,GWh
BAU_Extreme,2029,HYDRO,32743.612800000,GWh
BAU_Extreme,2029,PV,2329.142400000,GWh
BAU_Extreme,2029,WIND,2047.766400000,GWh
BAU_Extreme,2029,GEOTHERMAL,365.212800000,GWh
BAU_Extreme,2029,BIOENERGY,983.836800000,GWh
BAU_Extreme,2029,DIESEL,845.215200000,GWh
BAU_Extreme,2029,FUEL OIL,5287.802400000,GWh
BAU_Extreme,2029,GAS,5360.032800000,GWh
BAU_Extreme,2029,IMPORTS,1955.347200000,GWh
BAU_Extreme,2029,OTHER,0.000000000,GWh
BAU_Extreme,2030,HYDRO,33855.091200000,GWh
BAU_Extreme,2030,PV,2380.780800000,GWh
BAU_Extreme,2030,WIND,2042.503200000,GWh
BAU_Extreme,2030,GEOTHERMAL,369.345600000,GWh
BAU_Extreme,2030,BIOENERGY,49.485600000,GWh
BAU_Extreme,2030,DIESEL,281.908800000,GWh
BAU_Extreme,2030,FUEL OIL,7494.732000000,GWh
BAU_Extreme,2030,GAS,5660.798400000,GWh
BAU_Extreme,2030,IMPORTS,1969.401600000,GWh
BAU_Extreme,2030,OTHER,0.000000000,GWh
BAU_Extreme,2031,HYDRO,34201.850400000,GWh
BAU_Extreme,2031,PV,2372.853600000,GWh
BAU_Extreme,2031,WIND,2040.955200000,GWh
BAU_Extreme,2031,GEOTHERMAL,367.560000000,GWh
BAU_Extreme,2031,BIOENERGY,49.082400000,GWh
BAU_Extreme,2031,DIESEL,924.508800000,GWh
BAU_Extreme,2031,FUEL OIL,8120.037600000,GWh
BAU_Extreme,2031,GAS,5939.193600000,GWh
BAU_Extreme,2031,IMPORTS,2162.088000000,GWh
BAU_Extreme,2031,OTHER,0.000000000,GWh
BAU_Extreme,2032,HYDRO,40563.446400000,GWh
BAU_Extreme,2032,PV,2344.262400000,GWh
BAU_Extreme,2032,WIND,2056.039200000,GWh
BAU_Extreme,2032,GEOTHERMAL,368.676000000,GWh
BAU_Extreme,2032,BIOENERGY,47.512800000,GWh
BAU_Extreme,2032,DIESEL,0.000000000,GWh
BAU_Extreme,2032,FUEL OIL,6327.216000000,GWh
BAU_Extreme,2032,GAS,4671.828000000,GWh
BAU_Extreme,2032,IMPORTS,2027.232000000,GWh
BAU_Extreme,2032,OTHER,0.000000000,GWh
BAU_Extreme,2033,HYDRO,40180.291200000,GWh
BAU_Extreme,2033,PV,3803.918400000,GWh
BAU_Extreme,2033,WIND,5791.665600000,GWh
BAU_Extreme,2033,GEOTHERMAL,368.654400000,GWh
BAU_Extreme,2033,BIOENERGY,39.542400000,GWh
BAU_Extreme,2033,DIESEL,0.000000000,GWh
BAU_Extreme,2033,FUEL OIL,5572.411200000,GWh
BAU_Extreme,2033,GAS,3508.632000000,GWh
BAU_Extreme,2033,IMPORTS,1896.703200000,GWh
BAU_Extreme,2033,OTHER,0.000000000,GWh
BAU_Extreme,2034,HYDRO,40050.086400000,GWh
BAU_Extreme,2034,PV,4275.043200000,GWh
BAU_Extreme,2034,WIND,6792.523200000,GWh
BAU_Extreme,2034,GEOTHERMAL,368.380800000,GWh
BAU_Extreme,2034,BIOENERGY,46.015200000,GWh
BAU_Extreme,2034,DIESEL,0.000000000,GWh
BAU_Extreme,2034,FUEL OIL,6005.851200000,GWh
BAU_Extreme,2034,GAS,3960.604800000,GWh
BAU_Extreme,2034,IMPORTS,1948.492800000,GWh
BAU_Extreme,2034,OTHER,0.000000000,GWh
BAU_Extreme,2035,HYDRO,41210.870400000,GWh
BAU_Extreme,2035,PV,4279.420800000,GWh
