Case,Year,Month,Reservoir,Volume_Hm3,Turbine_Hm3,Spill_Hm3,Generation_GWh
BAU_Normal,2028,m4,E003_Mazar,210.2419455,0,256.7580545,0
BAU_Normal,2028,m4,E004_Paute_Molino,60,260.1514902,0,404.3187743
BAU_Normal,2028,m4,E005_Pucara,25,49.00574643,250.9942536,48.0256315
BAU_Normal,2028,m4,N039_Paute_Cardenillo,7.0825,0,0,0
BAU_Normal,2028,m5,E003_Mazar,234.1775776,0,238.0643679,0
BAU_Normal,2028,m5,E004_Paute_Molino,60,239.0643679,0,371.5458719
BAU_Normal,2028,m5,E005_Pucara,25,46.24908719,253.7509128,45.32410545
BAU_Normal,2028,m5,N039_Paute_Cardenillo,8.0825,0,0,0
BAU_Normal,2028,m6,E003_Mazar,243.2795634,0,252.8980141,0
BAU_Normal,2028,m6,E004_Paute_Molino,120,193.8980141,0,301.3498303
BAU_Normal,2028,m6,E005_Pucara,25,44.46655112,255.5334489,43.5772201
BAU_Normal,2028,m6,N039_Paute_Cardenillo,9.0825,0,0,0
BAU_Normal,2028,m7,E003_Mazar,272.6712965,0,232.6082669,0
BAU_Normal,2028,m7,E004_Paute_Molino,120,233.6082669,0,363.0661815
BAU_Normal,2028,m7,E005_Pucara,25,47.09753743,252.9024626,46.15558668
BAU_Normal,2028,m7,N039_Paute_Cardenillo,3.0825,0,7,0
BAU_Normal,2028,m8,E003_Mazar,306.1936027,0,228.4776937,0
BAU_Normal,2028,m8,E004_Paute_Molino,120,229.4776937,0,356.6465824
BAU_Normal,2028,m8,E005_Pucara,25,46.61727143,253.3827286,45.68492601
BAU_Normal,2028,m8,N039_Paute_Cardenillo,3.0825,0,1,0
BAU_Normal,2028,m9,E003_Mazar,280.547464,199.630581,88.01555773,69.87070335
BAU_Normal,2028,m9,E004_Paute_Molino,120,288.6461387,0,448.6042073
BAU_Normal,2028,m9,E005_Pucara,25,32.36195776,267.6380422,31.71471861
BAU_Normal,2028,m9,N039_Paute_Cardenillo,3.0825,0,1,0
BAU_Normal,2028,m10,E003_Mazar,206.5675572,178.0425668,157.93734,62.3148984
BAU_Normal,2028,m10,E004_Paute_Molino,120,336.9799068,0,523.7229385
BAU_Normal,2028,m10,E005_Pucara,25,30.01474961,269.9852504,29.41445461
BAU_Normal,2028,m10,N039_Paute_Cardenillo,3.0825,0,1,0
BAU_Normal,2028,m11,E003_Mazar,205,208.6015103,54.96604694,73.01052859
BAU_Normal,2028,m11,E004_Paute_Molino,89.63986572,294.9276915,0,458.3667872
BAU_Normal,2028,m11,E005_Pucara,25,32.43129535,267.5687046,31.78266945
BAU_Normal,2028,m11,N039_Paute_Cardenillo,3.0825,0,1,0
BAU_Normal,2028,m12,E003_Mazar,205,188.4591909,73.54080909,65.96071682
BAU_Normal,2028,m12,E004_Paute_Molino,60,292.6398657,0,454.8111246
BAU_Normal,2028,m12,E005_Pucara,25,35.15168542,264.8483146,34.44865171
BAU_Normal,2028,m12,N039_Paute_Cardenillo,4.0825,0,0,0
BAU_Normal,2029,m1,E003_Mazar,206.2068044,212.9695678,47.82362781,74.53934873
BAU_Normal,2029,m1,E004_Paute_Molino,60,261.7931956,0,406.8702582
BAU_Normal,2029,m1,E005_Pucara,25,33.34290877,266.6570912,32.6760506
BAU_Normal,2029,m1,N039_Paute_Cardenillo,4.0825,0,0,0
BAU_Normal,2029,m2,E003_Mazar,205,210.6826788,52.52412555,73.73893759
BAU_Normal,2029,m2,E004_Paute_Molino,60,264.2068044,0,410.6214085
BAU_Normal,2029,m2,E005_Pucara,25,31.54483426,268.4551657,30.91393757
BAU_Normal,2029,m2,N039_Paute_Cardenillo,5.0825,0,0,0
BAU_Normal,2029,m3,E003_Mazar,205,0,262,0
BAU_Normal,2029,m3,E004_Paute_Molino,60,263,0,408.7458333
BAU_Normal,2029,m3,E005_Pucara,25,45.22505276,254.7749472,44.32055171
BAU_Normal,2029,m3,N039_Paute_Cardenillo,6.0825,0,0,0
BAU_Normal,2029,m4,E003_Mazar,211.875417,0,255.124583,0
BAU_Normal,2029,m4,E004_Paute_Molino,60,256.124583,0,398.0602895
BAU_Normal,2029,m4,E005_Pucara,25,42.89682481,257.1031752,42.03888831
BAU_Normal,2029,m4,N039_Paute_Cardenillo,7.0825,0,0,0
BAU_Normal,2029,m5,E003_Mazar,205,0,268.875417,0
BAU_Normal,2029,m5,E004_Paute_Molino,60,269.875417,0,419.4313772
BAU_Normal,2029,m5,E005_Pucara,25,48.71164893,251.2883511,47.73741595
BAU_Normal,2029,m5,N039_Paute_Cardenillo,8.0825,0,0,0
BAU_Normal,2029,m6,E003_Mazar,212.8203098,0,254.1796902,0
BAU_Normal,2029,m6,E004_Paute_Molino,60,255.1796902,0,396.5917685
BAU_Normal,2029,m6,E005_Pucara,25,44.48811375,255.5118862,43.59835148
BAU_Normal,2029,m6,N039_Paute_Cardenillo,9.0825,0,0,0
BAU_Normal,2029,m7,E003_Mazar,205,0,269.8203098,0
BAU_Normal,2029,m7,E004_Paute_Molino,89.15231211,241.6679977,0,375.5923464
BAU_Normal,2029,m7,E005_Pucara,25,46.41878523,253.5812148,45.49040952
BAU_Normal,2029,m7,N039_Paute_Cardenillo,3.0825,0,7,0
BAU_Normal,2029,m8,E003_Mazar,208.8500963,0,258.1499037,0
BAU_Normal,2029,m8,E004_Paute_Molino,120,228.3022158,0,354.8196937
BAU_Normal,2029,m8,E005_Pucara,25,48.61079915,251.3892009,47.63858316
BAU_Normal,2029,m8,N039_Paute_Cardenillo,3.0825,0,1,0
BAU_Normal,2029,m9,E003_Mazar,205,172.1749816,93.67511477,60.26124355
BAU_Normal,2029,m9,E004_Paute_Molino,108.9668858,277.8832105,0,431.876823
BAU_Normal,2029,m9,E005_Pucara,25,27.87993699,272.120063,27.32233825
BAU_Normal,2029,m9,N039_Paute_Cardenillo,3.0825,0,1,0
BAU_Normal,2029,m10,E003_Mazar,205,182.4779371,79.5220629,63.86727799
BAU_Normal,2029,m10,E004_Paute_Molino,80.83329906,291.1335868,0,452.4701161
BAU_Normal,2029,m10,E005_Pucara,25,28.73434672,271.2656533,28.15965979
BAU_Normal,2029,m10,N039_Paute_Cardenillo,3.0825,0,1,0
BAU_Normal,2029,m11,E003_Mazar,205,181.3143948,80.68560521,63.46003818
BAU_Normal,2029,m11,E004_Paute_Molino,75.21040368,268.6228954,0,417.4847499
BAU_Normal,2029,m11,E005_Pucara,25,31.96614498,268.033855,31.32682208
BAU_Normal,2029,m11,N039_Paute_Cardenillo,3.0825,0,1,0
BAU_Normal,2029,m12,E003_Mazar,206.2068044,199.8355088,60.95768684,69.94242807
BAU_Normal,2029,m12,E004_Paute_Molino,60,277.0035993,0,430.5097606
BAU_Normal,2029,m12,E005_Pucara,25,29.32806452,270.6719355,28.74150323
BAU_Normal,2029,m12,N039_Paute_Cardenillo,4.0825,0,0,0
BAU_Normal,2030,m1,E003_Mazar,205,216.7454775,45.25452254,75.86091711
BAU_Normal,2030,m1,E004_Paute_Molino,60,263,0,408.7458333
BAU_Normal,2030,m1,E005_Pucara,25,34.79680014,265.2031999,34.10086414
BAU_Normal,2030,m1,N039_Paute_Cardenillo,4.0825,0,0,0
BAU_Normal,2030,m2,E003_Mazar,205,219.1412097,42.85879031,76.69942339
BAU_Normal,2030,m2,E004_Paute_Molino,60,263,0,408.7458333
BAU_Normal,2030,m2,E005_Pucara,25,28.72852036,271.2714796,28.15394996
BAU_Normal,2030,m2,N039_Paute_Cardenillo,5.0825,0,0,0
BAU_Normal,2030,m3,E003_Mazar,274.7329812,0,192.2670188,0
BAU_Normal,2030,m3,E004_Paute_Molino,60,193.2670188,0,300.3691584
BAU_Normal,2030,m3,E005_Pucara,25,48.68266405,251.317336,47.70901077
BAU_Normal,2030,m3,N039_Paute_Cardenillo,6.0825,0,0,0
BAU_Normal,2030,m4,E003_Mazar,230.8195402,0,305.913441,0
BAU_Normal,2030,m4,E004_Paute_Molino,60,306.913441,0,476.9946395
BAU_Normal,2030,m4,E005_Pucara,25,46.44446149,253.5555385,45.51557226
BAU_Normal,2030,m4,N039_Paute_Cardenillo,7.0825,0,0,0
BAU_Normal,2030,m5,E003_Mazar,205,0,287.8195402,0
BAU_Normal,2030,m5,E004_Paute_Molino,120,228.8195402,0,355.6237021
BAU_Normal,2030,m5,E005_Pucara,25,44.87889241,255.1211076,43.98131457
BAU_Normal,2030,m5,N039_Paute_Cardenillo,8.0825,0,0,0
BAU_Normal,2030,m6,E003_Mazar,313.571593,0,153.428407,0
BAU_Normal,2030,m6,E004_Paute_Molino,60,214.428407,0,333.2574825
BAU_Normal,2030,m6,E005_Pucara,25,46.06552822,253.9344718,45.14421766
BAU_Normal,2030,m6,N039_Paute_Cardenillo,9.0825,0,0,0
BAU_Normal,2030,m7,E003_Mazar,407.55046,0,168.021133,0
BAU_Normal,2030,m7,E004_Paute_Molino,60,169.021133,0,262.6870108
BAU_Normal,2030,m7,E005_Pucara,25,48.35305183,251.6469482,47.38599079
BAU_Normal,2030,m7,N039_Paute_Cardenillo,3.0825,0,7,0
BAU_Normal,2030,m8,E003_Mazar,330.0333981,0,339.5170619,0
BAU_Normal,2030,m8,E004_Paute_Molino,120,280.5170619,0,435.970267
BAU_Normal,2030,m8,E005_Pucara,25,45.78738192,254.2126181,44.87163428
BAU_Normal,2030,m8,N039_Paute_Cardenillo,3.0825,0,1,0
BAU_Normal,2030,m9,E003_Mazar,266.0908215,197.0816854,128.8608912,68.97858989
BAU_Normal,2030,m9,E004_Paute_Molino,120,326.9425766,0,508.1232545
BAU_Normal,2030,m9,E005_Pucara,25,36.84600764,263.1539924,36.10908749
BAU_Normal,2030,m9,N039_Paute_Cardenillo,3.0825,0,1,0
BAU_Normal,2030,m10,E003_Mazar,205,164.0105565,159.080265,57.40369478
BAU_Normal,2030,m10,E004_Paute_Molino,113.0693942,331.0214273,0,514.4624682
BAU_Normal,2030,m10,E005_Pucara,25,32.81132016,267.1886798,32.15509376
BAU_Normal,2030,m10,N039_Paute_Cardenillo,3.0825,0,1,0
BAU_Normal,2030,m11,E003_Mazar,205,177.973175,84.02682497,62.29061126
BAU_Normal,2030,m11,E004_Paute_Molino,60,316.0693942,0,491.2245169
BAU_Normal,2030,m11,E005_Pucara,25,26.80161037,273.1983896,26.26557816
BAU_Normal,2030,m11,N039_Paute_Cardenillo,3.0825,0,1,0
BAU_Normal,2030,m12,E003_Mazar,205,201.280485,60.719515,70.44816975
BAU_Normal,2030,m12,E004_Paute_Molino,60,263,0,408.7458333
BAU_Normal,2030,m12,E005_Pucara,25,29.94436017,270.0556398,29.34547297
BAU_Normal,2030,m12,N039_Paute_Cardenillo,4.0825,0,0,0
BAU_Normal,2031,m1,E003_Mazar,212.7394451,249.6734103,4.587144621,87.38569361
BAU_Normal,2031,m1,E004_Paute_Molino,60,255.2605549,0,396.7174458
BAU_Normal,2031,m1,E005_Pucara,25,35.60010595,264.3998941,34.88810383
BAU_Normal,2031,m1,N039_Paute_Cardenillo,4.0825,0,0,0
BAU_Normal,2031,m2,E003_Mazar,205,205.7804925,63.95895261,72.02317236
BAU_Normal,2031,m2,E004_Paute_Molino,60,270.7394451,0,420.7742209
BAU_Normal,2031,m2,E005_Pucara,25,34.26841031,265.7315897,33.5830421
BAU_Normal,2031,m2,N039_Paute_Cardenillo,5.0825,0,0,0
BAU_Normal,2031,m3,E003_Mazar,205,262,0,91.7
BAU_Normal,2031,m3,E004_Paute_Molino,60,263,0,408.7458333
BAU_Normal,2031,m3,E005_Pucara,25,45.37785675,254.6221432,44.47029962
BAU_Normal,2031,m3,N039_Paute_Cardenillo,6.0825,0,0,0
BAU_Normal,2031,m4,E003_Mazar,210.8026823,256.1973177,0,89.66906119
BAU_Normal,2031,m4,E004_Paute_Molino,120,197.1973177,0,306.4774979
BAU_Normal,2031,m4,E005_Pucara,25,45.35489699,254.645103,44.44779905
BAU_Normal,2031,m4,N039_Paute_Cardenillo,7.0825,0,0,0
BAU_Normal,2031,m5,E003_Mazar,205,267.8026823,0,93.73093881
