Hydrology,Scenario,w,Year,Tech,Capacity_MW
Baseline,BRIDGE,w17,2033,DIESEL,850
Baseline,BRIDGE,w17,2033,FUEL OIL,720
Baseline,BRIDGE,w17,2033,GAS,475.36
Baseline,BRIDGE,w17,2033,GEOTHERMAL,0
Baseline,BRIDGE,w17,2033,HYDRO,8102
Baseline,BRIDGE,w17,2033,NUCLEAR,0
Baseline,BRIDGE,w17,2033,PV,2980
Baseline,BRIDGE,w17,2033,WIND,1330
Baseline,BRIDGE,w17,2034,BIOENERGY,150
Baseline,BRIDGE,w17,2034,DIESEL,850
Baseline,BRIDGE,w17,2034,FUEL OIL,720
Baseline,BRIDGE,w17,2034,GAS,475.36
Baseline,BRIDGE,w17,2034,GEOTHERMAL,0
Baseline,BRIDGE,w17,2034,HYDRO,8102
Baseline,BRIDGE,w17,2034,NUCLEAR,0
Baseline,BRIDGE,w17,2034,PV,2980
Baseline,BRIDGE,w17,2034,WIND,1455
Baseline,BRIDGE,w17,2035,BIOENERGY,150
Baseline,BRIDGE,w17,2035,DIESEL,550
Baseline,BRIDGE,w17,2035,FUEL OIL,720
Baseline,BRIDGE,w17,2035,GAS,475.36
Baseline,BRIDGE,w17,2035,GEOTHERMAL,0
Baseline,BRIDGE,w17,2035,HYDRO,8402
Baseline,BRIDGE,w17,2035,NUCLEAR,0
Baseline,BRIDGE,w17,2035,PV,2980
Baseline,BRIDGE,w17,2035,WIND,1455
Baseline,BRIDGE,w17,2036,BIOENERGY,150
Baseline,BRIDGE,w17,2036,DIESEL,550
Baseline,BRIDGE,w17,2036,FUEL OIL,720
Baseline,BRIDGE,w17,2036,GAS,475.36
Baseline,BRIDGE,w17,2036,GEOTHERMAL,0
Baseline,BRIDGE,w17,2036,HYDRO,8402
Baseline,BRIDGE,w17,2036,NUCLEAR,0
Baseline,BRIDGE,w17,2036,PV,4730
Baseline,BRIDGE,w17,2036,WIND,1580
Baseline,BRIDGE,w17,2037,BIOENERGY,150
Baseline,BRIDGE,w17,2037,DIESEL,550
Baseline,BRIDGE,w17,2037,FUEL OIL,720
Baseline,BRIDGE,w17,2037,GAS,475.36
Baseline,BRIDGE,w17,2037,GEOTHERMAL,0
Baseline,BRIDGE,w17,2037,HYDRO,8402
Baseline,BRIDGE,w17,2037,NUCLEAR,0
Baseline,BRIDGE,w17,2037,PV,4730
Baseline,BRIDGE,w17,2037,WIND,1580
Baseline,BRIDGE,w17,2038,BIOENERGY,150
Baseline,BRIDGE,w17,2038,DIESEL,550
Baseline,BRIDGE,w17,2038,FUEL OIL,720
Baseline,BRIDGE,w17,2038,GAS,475.36
Baseline,BRIDGE,w17,2038,GEOTHERMAL,0
Baseline,BRIDGE,w17,2038,HYDRO,8402
Baseline,BRIDGE,w17,2038,NUCLEAR,0
