Hydrology,Scenario,Representative_w,Year,Month,Tech,GWh,Date
Baseline,REF,w23,2026,6,IMPORTS,0,2026-06-01
Baseline,REF,w23,2026,6,NUCLEAR,0,2026-06-01
Baseline,REF,w23,2026,6,PV,8.828633078,2026-06-01
Baseline,REF,w23,2026,6,WIND,40.36152439,2026-06-01
Baseline,REF,w23,2026,7,BIOENERGY,96.62946311,2026-07-01
Baseline,REF,w23,2026,7,DIESEL,0,2026-07-01
Baseline,REF,w23,2026,7,FUEL OIL,112.9259408,2026-07-01
Baseline,REF,w23,2026,7,GAS,0,2026-07-01
Baseline,REF,w23,2026,7,GEOTHERMAL,118.1000713,2026-07-01
Baseline,REF,w23,2026,7,HYDRO,3124.728434,2026-07-01
Baseline,REF,w23,2026,7,IMPORTS,0,2026-07-01
Baseline,REF,w23,2026,7,NUCLEAR,0,2026-07-01
Baseline,REF,w23,2026,7,PV,9.277004614,2026-07-01
Baseline,REF,w23,2026,7,WIND,42.56658685,2026-07-01
Baseline,REF,w23,2026,8,BIOENERGY,92.93822831,2026-08-01
Baseline,REF,w23,2026,8,DIESEL,0,2026-08-01
Baseline,REF,w23,2026,8,FUEL OIL,637.9900213,2026-08-01
Baseline,REF,w23,2026,8,GAS,67.45235474,2026-08-01
Baseline,REF,w23,2026,8,GEOTHERMAL,124.2263259,2026-08-01
Baseline,REF,w23,2026,8,HYDRO,2515.088744,2026-08-01
Baseline,REF,w23,2026,8,IMPORTS,0,2026-08-01
Baseline,REF,w23,2026,8,NUCLEAR,0,2026-08-01
Baseline,REF,w23,2026,8,PV,10.83891901,2026-08-01
Baseline,REF,w23,2026,8,WIND,46.10240832,2026-08-01
Baseline,REF,w23,2026,9,BIOENERGY,92.6627552,2026-09-01
Baseline,REF,w23,2026,9,DIESEL,0,2026-09-01
Baseline,REF,w23,2026,9,FUEL OIL,684.8599139,2026-09-01
Baseline,REF,w23,2026,9,GAS,98.51650561,2026-09-01
Baseline,REF,w23,2026,9,GEOTHERMAL,124.4760008,2026-09-01
Baseline,REF,w23,2026,9,HYDRO,2512.438766,2026-09-01
Baseline,REF,w23,2026,9,IMPORTS,0,2026-09-01
Baseline,REF,w23,2026,9,NUCLEAR,0,2026-09-01
Baseline,REF,w23,2026,9,PV,10.14627224,2026-09-01
Baseline,REF,w23,2026,9,WIND,53.20930473,2026-09-01
Baseline,REF,w23,2026,10,BIOENERGY,91.05474928,2026-10-01
Baseline,REF,w23,2026,10,DIESEL,72.89267723,2026-10-01
Baseline,REF,w23,2026,10,FUEL OIL,642.0378403,2026-10-01
Baseline,REF,w23,2026,10,GAS,64.28468125,2026-10-01
Baseline,REF,w23,2026,10,GEOTHERMAL,128.2889592,2026-10-01
Baseline,REF,w23,2026,10,HYDRO,2531.901875,2026-10-01
Baseline,REF,w23,2026,10,IMPORTS,0,2026-10-01
Baseline,REF,w23,2026,10,NUCLEAR,0,2026-10-01
Baseline,REF,w23,2026,10,PV,11.90553236,2026-10-01
Baseline,REF,w23,2026,10,WIND,45.66223291,2026-10-01
Baseline,REF,w23,2026,11,BIOENERGY,96.17222886,2026-11-01
Baseline,REF,w23,2026,11,DIESEL,52.58980377,2026-11-01
Baseline,REF,w23,2026,11,FUEL OIL,776.0723563,2026-11-01
Baseline,REF,w23,2026,11,GAS,63.21143328,2026-11-01
Baseline,REF,w23,2026,11,GEOTHERMAL,123.8223867,2026-11-01
Baseline,REF,w23,2026,11,HYDRO,2495.48094,2026-11-01
Baseline,REF,w23,2026,11,IMPORTS,0,2026-11-01
Baseline,REF,w23,2026,11,NUCLEAR,0,2026-11-01
Baseline,REF,w23,2026,11,PV,9.515296837,2026-11-01
Baseline,REF,w23,2026,11,WIND,43.77205181,2026-11-01
Baseline,REF,w23,2026,12,BIOENERGY,91.20222588,2026-12-01
Baseline,REF,w23,2026,12,DIESEL,44.70088473,2026-12-01
Baseline,REF,w23,2026,12,FUEL OIL,821.1320652,2026-12-01
Baseline,REF,w23,2026,12,GAS,137.2157958,2026-12-01
Baseline,REF,w23,2026,12,GEOTHERMAL,122.1233441,2026-12-01
Baseline,REF,w23,2026,12,HYDRO,2471.20949,2026-12-01
Baseline,REF,w23,2026,12,IMPORTS,0,2026-12-01
Baseline,REF,w23,2026,12,NUCLEAR,0,2026-12-01
Baseline,REF,w23,2026,12,PV,9.874119829,2026-12-01
Baseline,REF,w23,2026,12,WIND,50.69625242,2026-12-01
Baseline,REF,w23,2027,1,BIOENERGY,91.5239167,2027-01-01
Baseline,REF,w23,2027,1,DIESEL,0,2027-01-01
Baseline,REF,w23,2027,1,FUEL OIL,500.6257791,2027-01-01
Baseline,REF,w23,2027,1,GAS,184.6041826,2027-01-01
Baseline,REF,w23,2027,1,GEOTHERMAL,125.7767265,2027-01-01
Baseline,REF,w23,2027,1,HYDRO,2688.283757,2027-01-01
Baseline,REF,w23,2027,1,IMPORTS,0,2027-01-01
Baseline,REF,w23,2027,1,NUCLEAR,0,2027-01-01
Baseline,REF,w23,2027,1,PV,10.3523214,2027-01-01
Baseline,REF,w23,2027,1,WIND,85.7951327,2027-01-01
Baseline,REF,w23,2027,2,BIOENERGY,88.19845812,2027-02-01
Baseline,REF,w23,2027,2,DIESEL,0,2027-02-01
Baseline,REF,w23,2027,2,FUEL OIL,663.9290917,2027-02-01
Baseline,REF,w23,2027,2,GAS,63.45731542,2027-02-01
Baseline,REF,w23,2027,2,GEOTHERMAL,123.1488781,2027-02-01
