Hydrology,Scenario,Representative_w,Date,Year,Month,MW,ENS_GWh,CO2_kt
Baseline,REF,w23,2038-01-01,2038,1,351.4832559,0,87.03143565
Baseline,REF,w23,2038-02-01,2038,2,349.7261497,0,66.37312725
Baseline,REF,w23,2038-03-01,2038,3,355.8220569,0,24.45657455
Baseline,REF,w23,2038-04-01,2038,4,357.6311328,0,23.65628183
Baseline,REF,w23,2038-05-01,2038,5,355.8609749,0,24.87365861
Baseline,REF,w23,2038-06-01,2038,6,348.0306536,0,24.20219486
Baseline,REF,w23,2038-07-01,2038,7,343.4166988,0,24.45668909
Baseline,REF,w23,2038-08-01,2038,8,342.4768233,0,74.4000391
Baseline,REF,w23,2038-09-01,2038,9,350.480786,0,101.6509823
Baseline,REF,w23,2038-10-01,2038,10,351.6292588,0,86.04775171
Baseline,REF,w23,2038-11-01,2038,11,358.7448878,0,153.2595527
Baseline,REF,w23,2038-12-01,2038,12,367.3216805,0,247.3354954
Baseline,REF,w23,2039-01-01,2039,1,358.512921,0,110.4793438
Baseline,REF,w23,2039-02-01,2039,2,356.7206727,0,110.046819
Baseline,REF,w23,2039-03-01,2039,3,362.9384981,0,24.11782073
Baseline,REF,w23,2039-04-01,2039,4,364.7837555,0,24.48972867
Baseline,REF,w23,2039-05-01,2039,5,362.9781944,0,25.75430503
Baseline,REF,w23,2039-06-01,2039,6,354.9912667,0,24.96364596
Baseline,REF,w23,2039-07-01,2039,7,350.2850327,0,24.31210662
Baseline,REF,w23,2039-08-01,2039,8,349.3263598,0,64.43242211
Baseline,REF,w23,2039-09-01,2039,9,357.4904017,0,110.5321234
Baseline,REF,w23,2039-10-01,2039,10,358.661844,0,122.0789364
Baseline,REF,w23,2039-11-01,2039,11,365.9197855,0,154.3879665
Baseline,REF,w23,2039-12-01,2039,12,374.6681141,0,234.6010787
Baseline,REF,w23,2040-01-01,2040,1,365.6831794,0,106.0651694
Baseline,REF,w23,2040-02-01,2040,2,363.8550862,0,88.45359486
Baseline,REF,w23,2040-03-01,2040,3,370.197268,0,25.00141514
Baseline,REF,w23,2040-04-01,2040,4,372.0794306,0,25.05979685
Baseline,REF,w23,2040-05-01,2040,5,370.2377583,0,26.87229638
Baseline,REF,w23,2040-06-01,2040,6,362.091092,0,24.57692621
Baseline,REF,w23,2040-07-01,2040,7,357.2907334,0,25.03608361
Baseline,REF,w23,2040-08-01,2040,8,356.312887,0,6.352931999
Baseline,REF,w23,2040-09-01,2040,9,364.6402098,0,48.12347581
Baseline,REF,w23,2040-10-01,2040,10,365.8350809,0,74.1730472
Baseline,REF,w23,2040-11-01,2040,11,373.2381812,0,77.43739078
Baseline,REF,w23,2040-12-01,2040,12,382.1614764,0,236.7166204
Baseline,REF,w23,2041-01-01,2041,1,372.996843,0,30.84162906
Baseline,REF,w23,2041-02-01,2041,2,371.1321879,0,107.5807472
Baseline,REF,w23,2041-03-01,2041,3,377.6012134,0,32.53462446
Baseline,REF,w23,2041-04-01,2041,4,379.5210192,0,34.98406846
Baseline,REF,w23,2041-05-01,2041,5,377.6425135,0,31.04503833
Baseline,REF,w23,2041-06-01,2041,6,369.3329138,0,26.90645972
Baseline,REF,w23,2041-07-01,2041,7,364.4365481,0,24.54952704
Baseline,REF,w23,2041-08-01,2041,8,363.4391447,0,28.95217417
Baseline,REF,w23,2041-09-01,2041,9,371.933014,0,159.463258
Baseline,REF,w23,2041-10-01,2041,10,373.1517825,0,68.63145602
Baseline,REF,w23,2041-11-01,2041,11,380.7029449,0,187.4790552
Baseline,REF,w23,2041-12-01,2041,12,389.8047059,0,209.8835357
Baseline,REF,w23,2042-01-01,2042,1,380.4567798,0,99.68489881
Baseline,REF,w23,2042-02-01,2042,2,378.5548317,0,191.2643541
Baseline,REF,w23,2042-03-01,2042,3,385.1532376,0,29.82807689
Baseline,REF,w23,2042-04-01,2042,4,387.1114396,0,28.5793358
Baseline,REF,w23,2042-05-01,2042,5,385.1953637,0,31.43767934
Baseline,REF,w23,2042-06-01,2042,6,376.7195721,0,23.6960256
Baseline,REF,w23,2042-07-01,2042,7,371.725279,0,24.57273262
Baseline,REF,w23,2042-08-01,2042,8,370.7079276,0,30.78046744
Baseline,REF,w23,2042-09-01,2042,9,379.3716742,0,125.1749943
Baseline,REF,w23,2042-10-01,2042,10,380.6148181,0,120.2108085
Baseline,REF,w23,2042-11-01,2042,11,388.3170038,0,247.8978196
Baseline,REF,w23,2042-12-01,2042,12,397.6008,0,340.9032139
Baseline,REF,w23,2043-01-01,2043,1,388.0659154,0,256.5267004
Baseline,REF,w23,2043-02-01,2043,2,386.1259283,0,280.0261608
Baseline,REF,w23,2043-03-01,2043,3,392.8563024,0,32.73076633
Baseline,REF,w23,2043-04-01,2043,4,394.8536684,0,39.74057673
Baseline,REF,w23,2043-05-01,2043,5,392.899271,0,33.67709783
Baseline,REF,w23,2043-06-01,2043,6,384.2539636,0,28.71264793
Baseline,REF,w23,2043-07-01,2043,7,379.1597846,0,33.65927304
Baseline,REF,w23,2043-08-01,2043,8,378.1220862,0,156.3318392
Baseline,REF,w23,2043-09-01,2043,9,386.9591077,0,173.5520432
Baseline,REF,w23,2043-10-01,2043,10,388.2271145,0,246.0847204
Baseline,REF,w23,2043-11-01,2043,11,396.0833438,0,303.6305043
Baseline,REF,w23,2043-12-01,2043,12,405.552816,0,366.8072485
Baseline,REF,w23,2044-01-01,2044,1,395.8272338,0,358.4781474
Baseline,REF,w23,2044-02-01,2044,2,393.8484469,0,280.4069708
Baseline,REF,w23,2044-03-01,2044,3,400.7134284,0,39.43323752
Baseline,REF,w23,2044-04-01,2044,4,402.7507417,0,44.1273232
Baseline,REF,w23,2044-05-01,2044,5,400.7572564,0,40.30119053
Baseline,REF,w23,2044-06-01,2044,6,391.9390428,0,37.96239437
Baseline,REF,w23,2044-07-01,2044,7,386.7429803,0,27.67983218
Baseline,REF,w23,2044-08-01,2044,8,385.6845279,0,179.1587208
Baseline,REF,w23,2044-09-01,2044,9,394.6982899,0,307.392825
Baseline,REF,w23,2044-10-01,2044,10,395.9916568,0,289.9298685
Baseline,REF,w23,2044-11-01,2044,11,404.0050107,0,373.4674669
Baseline,REF,w23,2044-12-01,2044,12,413.6638724,0,494.9062571
Baseline,REF,w23,2045-01-01,2045,1,403.7437784,0,135.6004307
Baseline,REF,w23,2045-02-01,2045,2,401.7254158,0,148.7403825
Baseline,REF,w23,2045-03-01,2045,3,408.727697,0,21.43771256
Baseline,REF,w23,2045-04-01,2045,4,410.8057566,0,24.01160741
Baseline,REF,w23,2045-05-01,2045,5,408.7724016,0,34.31489021
Baseline,REF,w23,2045-06-01,2045,6,399.7778237,0,20.80481823
Baseline,REF,w23,2045-07-01,2045,7,394.4778399,0,16.66249857
Baseline,REF,w23,2045-08-01,2045,8,393.3982184,0,152.9707419
Baseline,REF,w23,2045-09-01,2045,9,402.5922557,0,198.2371257
Baseline,REF,w23,2045-10-01,2045,10,403.9114899,0,223.3022279
Baseline,REF,w23,2045-11-01,2045,11,412.0851109,0,203.4275702
Baseline,REF,w23,2045-12-01,2045,12,421.9371498,0,240.1738466
Baseline,REF,w23,2046-01-01,2046,1,411.818654,0,234.746891
Baseline,REF,w23,2046-02-01,2046,2,409.7599241,0,210.4070734
Baseline,REF,w23,2046-03-01,2046,3,416.902251,0,27.14088024
Baseline,REF,w23,2046-04-01,2046,4,419.0218717,0,23.72116285
Baseline,REF,w23,2046-05-01,2046,5,416.9478496,0,24.87260676
Baseline,REF,w23,2046-06-01,2046,6,407.7733802,0,19.29226915
Baseline,REF,w23,2046-07-01,2046,7,402.3673967,0,21.29781188
Baseline,REF,w23,2046-08-01,2046,8,401.2661828,0,140.2033261
Baseline,REF,w23,2046-09-01,2046,9,410.6441008,0,243.3033598
Baseline,REF,w23,2046-10-01,2046,10,411.9897197,0,213.5045226
Baseline,REF,w23,2046-11-01,2046,11,420.3268131,0,229.9905427
Baseline,REF,w23,2046-12-01,2046,12,430.3758928,0,342.4513248
Baseline,REF,w23,2047-01-01,2047,1,420.0550271,0,263.1583422
Baseline,REF,w23,2047-02-01,2047,2,417.9551226,0,273.8080932
Baseline,REF,w23,2047-03-01,2047,3,425.240296,0,34.03098311
Baseline,REF,w23,2047-04-01,2047,4,427.4023091,0,30.71847997
Baseline,REF,w23,2047-05-01,2047,5,425.2868066,0,26.24745081
Baseline,REF,w23,2047-06-01,2047,6,415.9288478,0,25.39898068
Baseline,REF,w23,2047-07-01,2047,7,410.4147446,0,23.89263832
Baseline,REF,w23,2047-08-01,2047,8,409.2915065,0,196.5506517
Baseline,REF,w23,2047-09-01,2047,9,418.8569828,0,266.1899011
Baseline,REF,w23,2047-10-01,2047,10,420.2295141,0,281.7150833
Baseline,REF,w23,2047-11-01,2047,11,428.7333494,0,253.5564077
Baseline,REF,w23,2047-12-01,2047,12,438.9834106,0,348.960274
Baseline,REF,w23,2048-01-01,2048,1,428.4561276,0,354.9684763
Baseline,REF,w23,2048-02-01,2048,2,426.3142251,0,284.3802562
Baseline,REF,w23,2048-03-01,2048,3,433.7451019,0,34.6713747
Baseline,REF,w23,2048-04-01,2048,4,435.9503553,0,31.93753564
Baseline,REF,w23,2048-05-01,2048,5,433.7925427,0,29.64963555
Baseline,REF,w23,2048-06-01,2048,6,424.2474247,0,28.95905932
Baseline,REF,w23,2048-07-01,2048,7,418.6230395,0,28.76452918
Baseline,REF,w23,2048-08-01,2048,8,417.4773366,0,283.292577
Baseline,REF,w23,2048-09-01,2048,9,427.2341225,0,278.6687418
Baseline,REF,w23,2048-10-01,2048,10,428.6341044,0,275.7204774
Baseline,REF,w23,2048-11-01,2048,11,437.3080164,0,372.0266019
Baseline,REF,w23,2048-12-01,2048,12,447.7630789,0.03803973099,362.9207821
Baseline,REF,w23,2049-01-01,2049,1,437.0252502,0,296.5702004
