Hydrology,Scenario,Year,Tech,mean_MW,p10_MW,p50_MW,p90_MW,min_MW,max_MW
Baseline,BRIDGE,2050,PV,5354,5368,5368,5368,4968,5368
Baseline,BRIDGE,2050,WIND,1505,1505,1505,1505,1505,1505
Baseline,NZT,2025,BIOENERGY,150,150,150,150,150,150
Baseline,NZT,2025,DIESEL,850,850,850,850,850,850
Baseline,NZT,2025,FUEL OIL,1420,1420,1420,1420,1420,1420
Baseline,NZT,2025,GAS,475.36,475.36,475.36,475.36,475.36,475.36
Baseline,NZT,2025,GEOTHERMAL,0,0,0,0,0,0
Baseline,NZT,2025,HYDRO,5258,5258,5258,5258,5258,5258
Baseline,NZT,2025,NUCLEAR,0,0,0,0,0,0
Baseline,NZT,2025,PV,1350,1350,1350,1350,1350,1350
Baseline,NZT,2025,WIND,455,455,455,455,455,455
Baseline,NZT,2026,BIOENERGY,150,150,150,150,150,150
Baseline,NZT,2026,DIESEL,850,850,850,850,850,850
Baseline,NZT,2026,FUEL OIL,1420,1420,1420,1420,1420,1420
Baseline,NZT,2026,GAS,475.36,475.36,475.36,475.36,475.36,475.36
Baseline,NZT,2026,GEOTHERMAL,200,200,200,200,200,200
Baseline,NZT,2026,HYDRO,5757,5757,5757,5757,5757,5757
Baseline,NZT,2026,NUCLEAR,0,0,0,0,0,0
Baseline,NZT,2026,PV,1668,1668,1668,1668,1668,1668
Baseline,NZT,2026,WIND,455,455,455,455,455,455
Baseline,NZT,2027,BIOENERGY,150,150,150,150,150,150
Baseline,NZT,2027,DIESEL,850,850,850,850,850,850
Baseline,NZT,2027,FUEL OIL,1420,1420,1420,1420,1420,1420
Baseline,NZT,2027,GAS,475.36,475.36,475.36,475.36,475.36,475.36
Baseline,NZT,2027,GEOTHERMAL,228,200,200,400,200,400
Baseline,NZT,2027,HYDRO,6157,6157,6157,6157,6157,6157
Baseline,NZT,2027,NUCLEAR,0,0,0,0,0,0
Baseline,NZT,2027,PV,1918,1918,1918,1918,1918,1918
Baseline,NZT,2027,WIND,580,580,580,580,580,580
Baseline,NZT,2028,BIOENERGY,150,150,150,150,150,150
Baseline,NZT,2028,DIESEL,850,850,850,850,850,850
Baseline,NZT,2028,FUEL OIL,1420,1420,1420,1420,1420,1420
